# id,course_code,course_title,course_credit,prerequisite,exclusion,corequisite

37,CENG 2210,Chemical Engineering Thermodynamics,3 Credit(s),PHYS 1111 OR PHYS 1112 OR PHYS 1312,"",MATH 2011 AND (CHEM 1010 OR CHEM 1020)
38,CENG 2220,Process Fluid Mechanics,3 Credit(s),PHYS 1111 OR PHYS 1112 OR PHYS 1312,MECH 2210,""
39,CENG 3120,Process Design and Integration,3 Credit(s),CENG 2110,"",""
40,CENG 3210,Separation Processes,3 Credit(s),CENG 2110 AND CENG 2210,"",""
41,CENG 3220,Heat and Mass Transfer,3 Credit(s),CENG 2220,MECH 3310,""
42,CENG 3230,Reaction and Reactor Engineering,3 Credit(s),CHEM 1010 OR CHEM 1020,"",CENG 2110
43,CENG 3910,Chemical Engineering Laboratory I,3 Credit(s),"","",CENG 2110
44,CENG 3920,Chemical Engineering Laboratory II,3 Credit(s),CENG 3910,"",""
45,CENG 3926,Biomolecular Engineering Laboratory,3 Credit(s),CENG 3910 AND (Level 3 in HKDSE 1x Biology OR LIFS 1901),"",""
46,CENG 3927,Environmental Engineering Laboratory,3 Credit(s),CENG 3910,"",""
47,CENG 4000,Special Topics,3 Credit(s),"","",""
48,CENG 4020,Academic and Professional Development II,0 Credit(s),"","",""
49,CENG 4120,Process Dynamics and Control,3 Credit(s),CENG 3120,"ELEC 3200, MECH 3610",""
50,CENG 4130,Plant Design and Economics,3 Credit(s),CENG 3120,"",""
51,CENG 4140,"Energy Resources, Conversions and Technologies",3 Credit(s),CHEM 1010 OR CHEM 1020,"",""
52,CENG 4540,Nanomaterials and Applications in Chemical Engineering,3 Credit(s),CENG 3210 and CENG 3230,"CENG 5840, NANO 5350",""
53,CENG 4620,Bioproducts and Processing,3 Credit(s),"","",""
54,CENG 4630,Food Processing Technology,3 Credit(s),"","",""
55,CENG 4640,Biomolecular Engineering,3 Credit(s),CENG 2210 AND CENG 3230 AND (Level 3 in HKDSE 1x Biology OR LIFS 1901),"",""
56,CENG 4660,Introduction to Biomicrosystem,3 Credit(s),"","",""
57,CENG 4670,Pharmaceutical Engineering,3 Credit(s),CHEM 1010 OR CHEM 1020,"",""
58,CENG 4710,Environmental Control,3 Credit(s),CHEM 1010 OR CHEM 1020,"",""
59,CENG 4720,Environmental Impact Assessment and Management Systems,3 Credit(s),CENG 1700 or CIVL 1140,CIVL 4430,""
60,CENG 4911,Chemical Engineering Project,7 Credit(s),CENG 3120 AND CENG 3910 AND LANG 2030,"",""
61,CENG 4912,Chemical and Environmental Engineering Project,7 Credit(s),CENG 3120 AND CENG 3910 AND LANG 2030,"",""
62,CENG 4913,Chemical and Biomolecular Engineering Project,7 Credit(s),CENG 3120 AND CENG 3910 AND LANG 2030,"",""
63,CENG 4970,Introduction to Research in Chemical and Biomolecular Engineering,0 Credit(s),"","",""
64,CENG 4980,Investigation Project,3 Credit(s),CENG 4970,"",""
65,CHEM 1002,Introduction to Chemistry of Cosmetics,3 Credit(s),"","",""
66,CHEM 1004,Chemistry in Everyday Life,3 Credit(s),"","Level 3 or above in HKDSE 1/2x Chemistry OR HKDSE 1x Chemistry, a passing grade in AL/AS Chemistry, CHEM 1010, CHEM 1020, CHEM 1030, any CHEM courses at or above 2000-level",""
67,CHEM 1008,General Chemistry,3 Credit(s),A passing grade in AL/AS Chemistry,"CHEM 2112 (prior to 2013-14), CHEM 2118 (prior to 2013-14), CHEM 2218 (prior to 2013-14)",""
68,CHEM 1010,General Chemistry IA,3 Credit(s),Level 3 or above in HKDSE 1/2x Chemistry OR CHEM 1004,"Level 3 or above in HKDSE 1x Chemistry, CHEM 1008, CHEM 1020",""
69,CHEM 1020,General Chemistry IB,2 Credit(s),Level 3 or above in HKDSE 1x Chemistry,CHEM 1010,""
70,CHEM 1030,General Chemistry II,3 Credit(s),CHEM 1010 OR CHEM 1020,"",""
71,CHEM 1050,Laboratory for General Chemistry I,1 Credit(s),Level 3 or above in HKDSE 1/2x OR level 3 or above in HKDSE 1x Chemistry OR CHEM 1004,"",CHEM 1010 OR CHEM 1020
72,CHEM 1055,Laboratory for General Chemistry II,1 Credit(s),CHEM 1010 OR CHEM 1020,"",CHEM 1030
73,CHEM 2110,Organic Chemistry I,3 Credit(s),CHEM 1030,"CHEM 2111, CHEM 2112 (prior to 2013-14), CHEM 2118 (prior to 2013-14)",""
74,CHEM 2111,Fundamentals of Organic Chemistry,3 Credit(s),CHEM 1010 OR CHEM 1020,"CHEM 2110, CHEM 2112 (prior to 2013-14), CHEM 2118 (prior to 2013-14)",""
75,CHEM 2150,Organic Chemistry Laboratory,1 Credit(s),(CHEM 1010 OR CHEM 1020) AND CHEM 1050,CHEM 2151,CHEM 2110 OR CHEM 2111
76,CHEM 2151,Organic Chemistry Laboratory,2 Credit(s),CHEM 2112 (prior to 2013-14) or CHEM 2118 (prior to 2013-14),CHEM 2558 (prior to 2013-14),""
77,CHEM 2155,Fundamental Organic Chemistry Laboratory,1 Credit(s),(CHEM 1010 OR CHEM 1020) AND CHEM 1050,CHEM 2150,CHEM 2110 OR CHEM 2111
78,CHEM 2210,Inorganic Chemistry I,3 Credit(s),CHEM 1030,CHEM 2218 (prior to 2013-14),""
79,CHEM 2250,Inorganic Chemistry Laboratory,1 Credit(s),CHEM 1030,"",CHEM 2210
80,CHEM 2310,Fundamentals of Analytical Chemistry,3 Credit(s),CHEM 1030,CHEM 2311,""
81,CHEM 2311,Analytical Chemistry,3 Credit(s),CHEM 1010 OR CHEM 1020,CHEM 2310,""
82,CHEM 2350,Analytical Chemistry Laboratory,1 Credit(s),(CHEM 1010 OR CHEM 1020) AND CHEM 1050,"",CHEM 2310 OR CHEM 2311
83,CHEM 2355,Fundamental Analytical Chemistry Laboratory,1 Credit(s),(CHEM 1010 OR CHEM 1020) AND CHEM 1050,CHEM 2350,CHEM 2310 OR CHEM 2311
84,CHEM 2410,Physical Chemistry I: Equilibrium Thermodynamics and Statistical Mechanics,3 Credit(s),CHEM 1030 AND (MATH 1014 OR MATH 1020 OR MATH 1024),"",""
85,CHEM 2418,Physical Chemistry I,4 Credit(s),A passing grade in AL Chemistry,CHEM 2411 (prior to 2013-14),""
86,CHEM 2450,Physical Chemistry Laboratory,1 Credit(s),CHEM 1030 AND (MATH 1014 OR MATH 1020 OR MATH 1024),"",CHEM 2410
87,CHEM 2578,Molecular Characterization Laboratory I,4 Credit(s),CHEM 2411 (prior to 2013-14) or CHEM 2418,"",""
88,CHEM 3010,Great Ideas in Chemistry,3 Credit(s),Any CHEM course at or above 1000-level,"",""
89,CHEM 3120,Organic Chemistry II,3 Credit(s),CHEM 2110,"",""
90,CHEM 3220,Inorganic Chemistry II,3 Credit(s),CHEM 2210,"",""
91,CHEM 3320,Instrumental Analysis,3 Credit(s),CHEM 2310,"",""
92,CHEM 3420,Physical Chemistry II,3 Credit(s),CHEM 2410,"",""
93,CHEM 3550,Synthetic Chemistry Laboratory,2 Credit(s),CHEM 2150 AND CHEM 2250,"",CHEM 3120 AND CHEM 3220
94,CHEM 3555,Molecular Characterization Chemistry Laboratory,2 Credit(s),CHEM 2350 AND CHEM 2450,"",CHEM 3320 AND CHEM 3420 AND LANG 3012
95,CHEM 3568,Synthetic Laboratory II,4 Credit(s),CHEM 2558 (prior to 2013-14),"",""
96,CHEM 3588,Molecular Characterization Laboratory II,4 Credit(s),CHEM 2578,"",""
97,CHEM 3610,Chemistry Internship,2-3 Credit(s),CHEM 3550 OR CHEM 3555,"",""
98,CHEM 3918,Chemical Information,1 Credit(s),"","",""
99,CHEM 3928,Chemistry Undergraduate Seminar,1 Credit(s),"","",CHEM 3918
100,CHEM 4110,Structural Elucidation in Organic Chemistry,3 Credit(s),CHEM 3120,"",""
101,CHEM 4120,Biomolecular Chemistry,3 Credit(s),CHEM 3120,"",""
102,CHEM 4130,Medicinal Chemistry,3 Credit(s),CHEM 3120,"",""
103,CHEM 4140,Intermediate Organic Chemistry,3 Credit(s),CHEM 3120,"",""
104,CHEM 4150,Biomolecular Synthesis Laboratory,1 Credit(s),CHEM 3550,"",CHEM 4155
105,CHEM 4155,Biomolecular Characterization Laboratory,1 Credit(s),CHEM 3555,"",CHEM 4150
106,CHEM 4210,Solid State Chemistry,3 Credit(s),CHEM 3220,"",""
107,CHEM 4220,Materials Chemistry,3 Credit(s),CHEM 3420,"CHEM 5540, NANO 5100",""
108,CHEM 4230,Materials Characterization Method,3 Credit(s),CHEM 2310 AND (CHEM 2410 OR CHEM 2418),"",""
109,CHEM 4240,Intermediate Inorganic Chemistry,3 Credit(s),CHEM 3220,"",""
110,CHEM 4250,Materials Preparation Laboratory,1 Credit(s),CHEM 3550,"",CHEM 4255
111,CHEM 4255,Materials Characterization Laboratory,1 Credit(s),CHEM 3555,"",CHEM 4250
112,CHEM 4310,Environmental Chemistry,3 Credit(s),CHEM 2310 OR CHEM 2311,"",""
113,CHEM 4320,Environmental Analytical Chemistry,3 Credit(s),CHEM 2310 OR CHEM 2311,"",""
114,CHEM 4330,Separation Science,3 Credit(s),CHEM 2310 or CHEM 2311,"",""
115,CHEM 4340,Bioanalytical Techniques,3 Credit(s),CHEM 2310 OR CHEM 2311,"",""
116,CHEM 4350,Environmental Chemistry Laboratory,1 Credit(s),(CHEM 2310 OR CHEM 2311) AND (CHEM 2350 OR CHEM 2355),"",CHEM 4355
117,CHEM 4355,Instrumental Analytical Chemistry Laboratory,1 Credit(s),(CHEM 2310 OR CHEM 2311) AND (CHEM 2350 OR CHEM 2355),"",CHEM 4350
118,CHEM 4430,Symmetry in Chemistry and Spectroscopy,3 Credit(s),CHEM 2110 AND CHEM 2210 AND CHEM 2410,"",""
119,CHEM 4550,Advanced Synthetic Laboratory,1 Credit(s),CHEM 3550,"",CHEM 4555
120,CHEM 4555,Advanced Molecular Characterization Laboratory,1 Credit(s),CHEM 3555,"",CHEM 4550
121,CHEM 4620,Organometallic Chemistry,3 Credit(s),CHEM 3220,"",""
122,CHEM 4640,Chemistry for Advanced Solar Cell Technologies,3 Credit(s),(for Science students) (CHEM 2110 OR CHEM 2118 (prior to 2013-14)) AND (CHEM 2410 OR CHEM 2418); (for Engineering students) CHEM 2111,"",""
123,CHEM 4680,Undergraduate Research,3 Credit(s),CHEM 2150 AND CHEM 2250,"",""
124,CHEM 4688,Undergraduate Thesis,3 Credit(s),CHEM 4680,"",""
125,CHEM 4689,Capstone Project,3 Credit(s),CHEM 3550 AND CHEM 3555,CHEM 4691,LANG 4012
126,CHEM 4691,Capstone Research I,3 Credit(s),CHEM 3550 AND CHEM 3555,CHEM 4689,LANG 4012
127,CHEM 4692,Capstone Research II,3 Credit(s),CHEM 4691,"",""
128,CIVL 1010,Academic and Professional Development I,0 Credit(s),"","",""
129,CIVL 1020,Surveying and Surveying Camp,2 Credit(s),"","",""
130,CIVL 1030,Civil Engineering Drawing,1 Credit(s),"","",""
131,CIVL 1100,Discovering Civil and Environmental Engineering,3 Credit(s),"",CIVL 1110 (prior to 2013-14),""
132,CIVL 1120,Exploring Earthquake Engineering,3 Credit(s),Level 3 or above in HKDSE 1/2x or 1x Physics OR a passing grade in HKCEE Physics,"CIVL 2120, MECH 2040",""
133,CIVL 1130,Monumental Structures from Ancient to Modern Times,3 Credit(s),"","",""
134,CIVL 1140,Environmental Quality Control and Improvement,3 Credit(s),"","",""
135,CIVL 1160,Civil Engineering and Modern Society,3 Credit(s),"","CIVL 1100, CIVL 1110 (prior to 2013-14)",""
136,CIVL 1170,"Big History, Sustainability and Climate Change",3 Credit(s),"","",""
137,CIVL 2010,Academic and Professional Development II,0 Credit(s),"","",""
138,CIVL 2020,Industrial Training,0 Credit(s),"","",""
139,CIVL 2110,Statics,3 Credit(s),PHYS 1112 OR PHYS 1312,CIVL 2150,MATH 1014 OR MATH 1020 OR MATH 1024
140,CIVL 2120,Mechanics of Materials,3 Credit(s),CIVL 2110,MECH 2040,""
141,CIVL 2150,Introduction to Statics and Dynamics,3 Credit(s),"",CIVL 2110,""
142,CIVL 2160,Modeling Systems with Uncertainties,3 Credit(s),"",MATH 2411,MATH 1014 OR MATH 1020 OR MATH 1024
143,CIVL 2170,Infrastructure Systems Engineering and Management,3 Credit(s),MATH 2350,"IELM 3010, IELM 3020 (prior to 2014-15)",""
144,CIVL 2410,Environmental Assessment and Management,3 Credit(s),(CHEM 1010 OR CHEM 1020) AND CIVL 1100,"",""
145,CIVL 2510,Fluid Mechanics,3 Credit(s),MATH 2011,MECH 2210,CIVL 2110
146,CIVL 2810,Construction Materials,3 Credit(s),"","",CIVL 2120
147,CIVL 3010,Academic and Professional Development III,0 Credit(s),"","",""
148,CIVL 3020,Internship Training,0 Credit(s),CIVL 2020,"",""
149,CIVL 3210,Introduction to Construction Management,3 Credit(s),"","",""
150,CIVL 3220,Construction Engineering I,2 Credit(s),"","",""
151,CIVL 3310,Structural Analysis,3 Credit(s),CIVL 2110 AND CIVL 2120,"",""
152,CIVL 3320,Reinforced Concrete Design,3 Credit(s),CIVL 2810 AND CIVL 3310,"",""
153,CIVL 3420,Water and Wastewater Engineering,3 Credit(s),CIVL 1140 OR CIVL 2410,"",""
154,CIVL 3510,Hydrosystems Engineering,3 Credit(s),CIVL 2510,"CIVL 3520, CIVL 3530",CIVL 2160
155,CIVL 3520,Hydraulics,3 Credit(s),CIVL 2510,"",""
156,CIVL 3530,Hydrology,3 Credit(s),"","",""
157,CIVL 3610,Traffic and Transportation Engineering,3 Credit(s),"",CIVL 3620,CIVL 2170
158,CIVL 3620,Introduction to Transportation Systems,3 Credit(s),"",CIVL 3610,""
159,CIVL 3720,Soil Mechanics,3 Credit(s),"","",""
160,CIVL 3730,Fundamentals of Geotechnics,3 Credit(s),CIVL 2120,"",""
161,CIVL 3740,Geotechnical Analysis and Design,3 Credit(s),CIVL 3730,"",""
162,CIVL 4100,Special Topics,1-4 Credit(s),"","",""
163,CIVL 4230,Construction Engineering II,2 Credit(s),CIVL 3220,"",""
164,CIVL 4250,Project Management and Finance,3 Credit(s),"","",""
165,CIVL 4260,Infrastructure Project Delivery Systems,3 Credit(s),"","",""
166,CIVL 4270,Construction Law and Contract Administration,3 Credit(s),"","",""
167,CIVL 4320,Structural Steel Design,3 Credit(s),CIVL 3310,"",""
168,CIVL 4330,Introduction to Structural Dynamics,3 Credit(s),CIVL 2110 AND MATH 2011 AND MATH 2111,MECH 4750,""
169,CIVL 4340,Prestressed Concrete Design,3 Credit(s),CIVL 3320,"",""
170,CIVL 4350,Design of Structural Systems,3 Credit(s),CIVL 3320 and CIVL 4320,"",""
171,CIVL 4370,Computer Methods of Structural Analysis,3 Credit(s),CIVL 3310,"",""
172,CIVL 4380,Introduction to Wind Effects on Buildings and Structures,3 Credit(s),"",CIVL 5370,""
173,CIVL 4430,Environmental Impact Assessment,3 Credit(s),CIVL 1140 or CIVL 2410,CENG 4720,""
174,CIVL 4440,Environmental Systems Analysis,3 Credit(s),CIVL 2410 OR ENVR 2010,"",""
175,CIVL 4450,Carbon Footprint Analysis and Reduction,3 Credit(s),CIVL 2410 OR ENVR 3210,"",""
176,CIVL 4460,Process Design of Environmental Engineering Facilities,3 Credit(s),CIVL 3420,"",""
177,CIVL 4470,Air Quality Control and Management,3 Credit(s),"",MECH 4210 (prior to 2013-14),""
178,CIVL 4520,Municipal Hydrosystems Engineering and Management,3 Credit(s),CIVL 2160 and CIVL 3520 and CIVL 3530 and IELM 3020 (prior to 2014-15),"",""
179,CIVL 4540,Waves in Hydrosystems,3 Credit(s),CENG 2220 OR CIVL 2500 (prior to 2013-14) OR CIVL 2510 OR MATH 4326 OR MECH 2210,"",""
180,CIVL 4620,Transportation System Operations,3 Credit(s),CIVL 3610 or CIVL 3620,"",""
181,CIVL 4700,Engineering Geology,3 Credit(s),"","",""
182,CIVL 4710,Soil Slope Engineering,3 Credit(s),"","",CIVL 3740
183,CIVL 4750,Numerical Solutions to Geotechnical Problems,3 Credit(s),"","",""
184,CIVL 4760,Introduction to Rock Mechanics,3 Credit(s),"","",CIVL 3740
185,CIVL 4810,Construction Materials Technology,3 Credit(s),CIVL 2810,CIVL 5840,""
186,CIVL 4900,Directed Studies,1 Credit(s),"","",""
187,CIVL 4910,Civil and Environmental Engineering Final Year Project,6 Credit(s),"",CIVL 4920,""
188,CIVL 4920,Civil and Environmental Engineering Final Year Thesis,6 Credit(s),"",CIVL 4910,""
189,CIVL 4950,Civil Engineering Capstone Design Project,3 Credit(s),"","",LANG 4033
190,CIVL 4990,Civil Engineering Project,6 Credit(s),"","",""
191,COMP 1001,Exploring Multimedia and Internet Computing,3 Credit(s),"","ISOM 2010, any COMP courses of 2000-level or above",""
192,COMP 1021,Introduction to Computer Science,3 Credit(s),"","COMP 1002 (prior to 2013-14), COMP 1004 (prior to 2013-14), COMP 1022P, COMP 1022Q, COMP 2011",""
193,COMP 1022P,Introduction to Computing with Java,3 Credit(s),"","COMP 1002 (prior to 2013-14), COMP 1004 (prior to 2013-14), COMP 1021, COMP 1022Q, COMP 2011, ISOM 3320",""
194,COMP 1022Q,Introduction to Computing with Excel VBA,3 Credit(s),"","COMP 1002 (prior to 2013-14), COMP 1004 (prior to 2013-14), COMP 1021, COMP 1022P, COMP 2011, ISOM 3230",""
195,COMP 1029A,Introduction to Mobile Application Development Using Android,1 Credit(s),COMP 1002 (prior to 2013-14) OR COMP 1004 (prior to 2013-14) OR COMP 1021 OR COMP 1022P OR COMP1022Q,"",""
196,COMP 1029C,C Programming Bridging Course,1 Credit(s),COMP 1021 OR COMP 1022P OR COMP 1022Q OR ISOM 3230 OR ISOM 3320,"COMP 1002 (prior to 2013-14), COMP 1004 (prior to 2013-14), COMP 2011",""
197,COMP 1029J,Java Programming Bridging Course,1 Credit(s),COMP 1002 (prior to 2013-14) OR COMP 1004 (prior to 2013-14) OR COMP 1021 OR COMP 1022Q OR ISOM 3230,"COMP 1022P, COMP 3021, ISOM 3320",""
198,COMP 1029P,Python Programming Bridging Course,1 Credit(s),COMP 1002 (prior to 2013-14) OR COMP 1004 (prior to 2013-14) OR COMP 1022P OR COMP 1022Q OR ISOM 3230 OR ISOM 3320,COMP 1021,""
199,COMP 1029V,Excel VBA Programming Bridging Course,1 Credit(s),COMP 1002 (prior to 2013-14) OR COMP 1004 (prior to 2013-14) OR COMP 1021 OR COMP 1022P OR ISOM 3320,"COMP 1022Q, ISOM 3230",""
200,COMP 1900,Academic and Professional Development I,0 Credit(s),"","",""
201,COMP 1941,Great Ideas in Computing,3 Credit(s),"","",""
202,COMP 1942,Exploring and Visualizing Data,3 Credit(s),"","COMP 4331, ISOM 3360, RMBI 4310",""
203,COMP 1991,Industrial Experience,0 Credit(s),"","",""
204,COMP 1999,Industrial Training,0 Credit(s),"","",""
205,COMP 2011,Introduction to Object-oriented Programming,4 Credit(s),COMP 1021 OR COMP 1022P OR COMP 1022Q OR ISOM 3230,COMP 1004 (prior to 2013-14),""
206,COMP 2012,Object-Oriented Programming and Data Structures,4 Credit(s),COMP 1004 (prior to 2013-14) OR COMP 2011,COMP 2012H,""
207,COMP 2012H,Honors Object-Oriented Programming and Data Structures,5 Credit(s),Grade A or above in COMP 1002 (prior to 2013-14) / COMP 1021 / COMP 1022P / COMP 1022Q / ISOM 3230,"COMP 1004 (prior to 2013-14), COMP 2011, COMP 2012",""
208,COMP 2021,Unix and Script Programming,3 Credit(s),COMP 1002 (prior to 2013-14) OR COMP 1004 (prior to 2013-14) OR COMP 1021 OR COMP 1022P OR COMP 1022Q; OR a passing grade in HKALE Computer Studies or HKCEE Computer Studies; OR level 3 or above in HKDSE Information and Communication Technology,"",""
209,COMP 2521,Mobile Application Development Projects,3 Credit(s),"","",""
210,COMP 2611,Computer Organization,4 Credit(s),COMP 1004 (prior to 2013-14) OR COMP 2011 OR COMP 2012H,ELEC 2300,""
211,COMP 2711,Discrete Mathematical Tools for Computer Science,4 Credit(s),A passing grade in AL Pure Mathematics/AL Applied Mathematics; OR level 3 or above in HKDSE Mathematics Extended Module M1/M2,"COMP 2711H, MATH 2343",(For students without prerequisites) MATH 1012 OR MATH 1013 OR MATH 1014 OR MATH 1018 (prior to 2013-14) OR MATH 1020 OR MATH 1023 OR MATH 1024
212,COMP 2711H,Honors Discrete Mathematical Tools for Computer Science,4 Credit(s),Grade B or above in AL Pure Mathematics/AL Applied Mathematics; OR level 5* or above in HKDSE Mathematics Extended Module M1/M2; OR grade A- or above in MATH 1014; OR grade B+ or above in MATH 1020 / MATH 1024,"COMP 2711, MATH 2343",""
213,COMP 2900,Academic and Professional Development II,0 Credit(s),"","",""
214,COMP 3021,Java Programming,3 Credit(s),COMP 2012 OR COMP 2012H,ISOM 3320,""
215,COMP 3031,Principles of Programming Languages,3 Credit(s),COMP 2012 OR COMP 2012H,"",""
216,COMP 3071,Honors Competitive Programming,2 Credit(s),"","",""
217,COMP 3111,Software Engineering,4 Credit(s),COMP 2012 OR COMP 2012H,"COMP 3111H, ISOM 3210, RMBI 4420 (prior to 2016-17)",""
218,COMP 3111H,Honors Software Engineering,4 Credit(s),Grade A- or above in COMP 2012 / COMP 2012H,"COMP 3111, ISOM 3210, RMBI 4420 (prior to 2016-17)",""
219,COMP 3211,Fundamentals of Artificial Intelligence,3 Credit(s),COMP 2011 OR COMP 2012 OR COMP 2012H,COMP 5211,""
220,COMP 3311,Database Management Systems,3 Credit(s),COMP 2011 OR COMP 2012 OR COMP 2012H,"COMP 5311, IELM 3300, ISOM 3260",""
221,COMP 3511,Operating Systems,3 Credit(s),COMP 2611 OR [ELEC 2300 AND (COMP 1002 (prior to 2013-14) OR COMP 1004 (prior to 2013-14) OR COMP 2011 OR COMP 2012H)],"",""
222,COMP 3632,Principles of Cybersecurity,3 Credit(s),COMP 2012 OR COMP 2012H,"",""
223,COMP 3711,Design and Analysis of Algorithms,3 Credit(s),(COMP 2011 OR COMP 2012 OR COMP 2012H) AND (COMP 2711 OR COMP 2711H OR MATH 2343),COMP 3711H,""
224,COMP 3711H,Honors Design and Analysis of Algorithms,4 Credit(s),(Grade B+ or above in COMP 2011 / COMP 2012 / COMP 2012H) AND (grade A- or above in COMP 2711 / COMP 2711H / MATH 2343),COMP 3711,""
225,COMP 3721,Theory of Computation,3 Credit(s),(COMP 3711 OR COMP 3711H) AND (MATH 2111 OR MATH 2121 OR MATH 2350),"",""
226,COMP 3900,Academic and Professional Development III,0 Credit(s),"","",""
227,COMP 4021,Internet Computing,3 Credit(s),COMP 2012 OR COMP 2012H,"",""
228,COMP 4111,Software Engineering Practices,3 Credit(s),COMP 3111 OR COMP 3111H,"",""
229,COMP 4211,Machine Learning,3 Credit(s),(COMP 2011 OR COMP 2012 OR COMP 2012H) AND (ELEC 2600 OR IELM 2510 OR MATH 2411 OR MATH 2421 OR MATH 2431),"COMP 4331, COMP 5212, ISOM 3360",""
230,COMP 4221,Introduction to Natural Language Processing,3 Credit(s),ELEC 2600 OR IELM 2510 OR MATH 2411 OR MATH 2421 OR MATH 2431,COMP 5221,""
231,COMP 4311,Principles of Database Design,3 Credit(s),COMP 3311,ISOM 3260,""
232,COMP 4321,Search Engines for Web and Enterprise Data,3 Credit(s),COMP 2011 OR COMP 2012 OR COMP 2012H,"",""
233,COMP 4331,Data Mining,3 Credit(s),IELM 2510 OR ISOM 2500 OR LIFS 3150 OR MATH 2411,"COMP 4211, ISOM 3360",""
234,COMP 4332,Big Data Mining and Management,3 Credit(s),COMP 4211 OR COMP 4331 OR ISOM 3360,"",""
235,COMP 4411,Computer Graphics,3 Credit(s),COMP 3711 OR COMP 3711H,"",""
236,COMP 4421,Image Processing,3 Credit(s),(COMP 2011 OR COMP 2012 OR COMP 2012H) AND (MATH 2011 OR MATH 2111 OR MATH 2350 OR MATH 2351 OR MATH 2352),"ELEC 4130, MATH 4336",""
237,COMP 4431,Multimedia Computing,3 Credit(s),COMP 2012 OR COMP 2012H,ELEC 4170,""
238,COMP 4441,Computer Music,3 Credit(s),COMP 2011 OR COMP 2012 OR COMP 2012H,"",""
239,COMP 4451,Game Programming,3 Credit(s),"","",COMP 4411
240,COMP 4461,Human-Computer Interaction,3 Credit(s),COMP 2011,"",""
241,COMP 4511,System and Kernel Programming in Linux,3 Credit(s),COMP 3511,"",COMP 4621 OR ELEC 4120
242,COMP 4521,Mobile Application Development,3 Credit(s),(COMP 2611 OR ELEC 2300) AND COMP 3511,"",""
243,COMP 4611,Design and Analysis of Computer Architectures,3 Credit(s),COMP 2611 or ELEC 2300,"",""
