# id,examination,subject,min_grade,transfer_course_code,db_reference_no

118,"India, Maharashtra State Higher Secondary Certificate Examination (INMHHSCE)",Mathematics and Statistics,95 or above,MATH 1020: Accelerated Calculus,A02301
119,"India, Maharashtra State Higher Secondary Certificate Examination (INMHHSCE)",Mathematics and Statistics,80 - 94,MATH 1013: Calculus IB (Aka: Calculus I),A02301b
120,"India, Telangana State Board of Intermediate Education: Hyderabad",Chemistry,60% (90/150) or above,CHEM 1010: General Chemistry IA CHEM 1050: Laboratory for General Chemistry I,A02304
121,Tajikistan Certificate of General Secondary School Education,Biology,5 / Excellent,LIFS 1901: General Biology I LIFS 1903: Laboratory for General Biology I,A03001
122,Tajikistan Certificate of General Secondary School Education,Chemistry,4 or above / Good or above,CHEM 1010: General Chemistry IA CHEM 1050: Laboratory for General Chemistry I,A03002
123,"Indonesia, Ujian Nasional (IDUN)",Chemistry (Kimia),9.0/10.0 or above (in National Exam),CHEM 1010: General Chemistry IA CHEM 1050: Laboratory for General Chemistry I,A01502
124,"Indonesia, Ujian Nasional (IDUN)",Chemistry (Kimia),90/100 above (in National Exam) from 2015,CHEM 1010: General Chemistry IA CHEM 1050: Laboratory for General Chemistry I,A01502a
125,International Mathematical Olympiad,Mathematics,Bronze / Silver / Gold Award,MATH 2731: Mathematical Problem Solving,A03201
126,"Malaysia, Higher School Certificate (Sijil Tinggi Persekolahan MY)",Chemistry,B or above,CHEM 1010: General Chemistry IA CHEM 1050: Laboratory for General Chemistry I,A00708
127,"Malaysia, Higher School Certificate (Sijil Tinggi Persekolahan MY)",Further Mathematics,A- or above,MATH 1020: Accelerated Calculus,A00701
128,"Malaysia, Higher School Certificate (Sijil Tinggi Persekolahan MY)",Further Mathematics,B- to B+,MATH 1013: Calculus IB (Aka: Calculus I),A00702
129,"Malaysia, Higher School Certificate (Sijil Tinggi Persekolahan MY)",Mathematics T (Technology),A- or above,MATH 1020: Accelerated Calculus,A00703
130,"Malaysia, Higher School Certificate (Sijil Tinggi Persekolahan MY)",Mathematics T (Technology),B- to B+,MATH 1013: Calculus IB (Aka: Calculus I),A00704
131,"Malaysia, Unified Examination Certificate (Senior)",Advanced Mathematics II,A2 or above,MATH 1020: Accelerated Calculus,A00705
132,"Malaysia, Unified Examination Certificate (Senior)",Advanced Mathematics II,B6 to B3,MATH 1013: Calculus IB (Aka: Calculus I),A00706
133,"Netherlands, Pre-University Education VWO Examination","Wiskunde (Mathematics) B 1, 2",9 or above,MATH 1020: Accelerated Calculus,A01201
134,"Netherlands, Pre-University Education VWO Examination","Wiskunde (Mathematics) B 1, 2",7 or 8,MATH 1013: Calculus IB (Aka: Calculus I),A01202
135,Norway National Examination,84 SAF1001 Social Studies,3,SOSC 1000SACC: 1000-level Course in Social Science / SA Common Core,A02909b
136,Norway National Examination,Natural science,5,LIFS 1901: General Biology I,A02907a
137,Singapore-Cambridge GCE Advanced Level,Biology (H2),B or above,LIFS 1901: General Biology I LIFS 1903: Laboratory for General Biology I,A00804
138,Singapore-Cambridge GCE Advanced Level,Chemistry (H2),B or above,CHEM 1010: General Chemistry IA CHEM 1050: Laboratory for General Chemistry I,A00803
139,Singapore-Cambridge GCE Advanced Level,Mathematics (H2),A or above,MATH 1020: Accelerated Calculus,A00801
140,Singapore-Cambridge GCE Advanced Level,Mathematics (H2),B,MATH 1013: Calculus IB (Aka: Calculus I),A00802
141,Singapore-Cambridge GCE Advanced Level,Physics (H2),B or above,PHYS 1111: General Physics I PHYS 1113: Laboratory for General Physics I,A00805
142,Scottish National Qualification (SNQ),Advanced Higher Chemistry,B,CHEM 1010: General Chemistry IA CHEM 1050: Laboratory for General Chemistry I,A02108
143,Scottish National Qualification (SNQ),Advanced Higher Mathematics,A,MATH 1013: Calculus IB (Aka: Calculus I),A02105
144,Scottish National Qualification (SNQ),Advanced Higher Physics,B or above,PHYS 1111: General Physics I PHYS 1113: Laboratory for General Physics I,A02107
145,Tunisia Baccalaureate,Mathematics (Mathematics Section / Coeff. 4),14 or above,MATH 1020: Accelerated Calculus,A01801
146,Tunisia Baccalaureate,Mathematics (Mathematics Section / Coeff. 4),12 or 13,MATH 1013: Calculus IB (Aka: Calculus I),A01802
